state_fips,m_ind_name,replacement_rate_1,replacement_rate_2,replacement_rate_3,n
4,Other services,0.46884885620276506,1.64097099670968,1.05490992645622,21
4,Professional services,0.253959797109831,0.888859289884409,0.57140954349712,112
4,Public administration,0.283490006076091,0.992215021266317,0.637852513671204,68
4,Transportation & utilities,0.340923768354175,1.19323318923961,0.767078478796895,62
4,Wholesale & retail trade,0.348287721750626,1.21900702612719,0.783647373938907,136
5,Agriculture & forestry,0.50000002,1.30197832666262,0.900989173331312,9
5,Construction,0.50000002,1.42349019130848,0.9617451056542381,70
5,Educational & health services,0.50000002,1.46139498370412,0.9617451056542381,338
5,Financial activities,0.50000002,1.3657720556017,0.9328860378008481,52
5,Information,0.50000002,1.4523492591618667,0.9761746395809332,15
5,Leisure & hospitality,0.50000002,1.76979900554916,1.10950353306359,80
5,Manufacturing,0.50000002,1.37071932437656,0.935359672188282,159
5,Mining,0.369470543537206,1.3707193243765636,0.9353596721882818,5
5,Other services,0.50000002,1.74388474053795,1.12194238026897,40
5,Professional services,0.50000002,1.37071932437656,0.935359672188282,79
5,Public administration,0.50000002,1.26359750567226,0.881798762836128,63
5,Transportation & utilities,0.458143473986135,1.13579466707418,0.811590670763758,74
5,Wholesale & retail trade,0.50000002,1.51583920843932,1.00547256403514,163
6,Agriculture & forestry,0.49999999399999995,1.45234923316187,0.976174613580933,71
6,Construction,0.499999994,1.23257633181682,0.86628816290841,325
6,Educational & health services,0.49999999399999995,1.37909159938018,0.935359646188282,1502
6,Financial activities,0.457127634797696,1.06663114786129,0.7618793913294941,386
6,Information,0.380939695664747,0.888859289884409,0.634899492774578,165
6,Leisure & hospitality,0.49999999399999995,1.71900702012719,1.10950350706359,520
6,Manufacturing,0.499999994,1.19753205289631,0.848766023448154,522
6,Mining,0.499999994,1.1772261196262164,0.838613056813108,8
6,Other services,0.499999994,1.51583918243932,1.00791958821966,267
6,Professional services,0.49999999400000006,1.20872500919023,0.854362501595113,831
6,Public administration,0.499999994,1.23257633181682,0.86628816290841,350
6,Transportation & utilities,0.499999994,1.34653265103277,0.923266322516385,348
6,Wholesale & retail trade,0.49999999399999995,1.51583918243932,1.00791958821966,810
8,Agriculture & forestry,0.599999998,1.97896722212578,1.28948361006289,13
8,Construction,0.599999998,1.29897191665091,0.9494859573254559,81
8,Educational & health services,0.599999998,1.5550624828574797,1.07753124042874,209
8,Financial activities,0.569885784714461,1.17938929777806,0.874637541246259,64
8,Information,0.50000002,1.03465222444175,0.767326122220875,26
8,Leisure & hospitality,0.599999998,1.8697989835491597,1.20950351106359,80
8,Manufacturing,0.50000002,1.00791961421966,0.753959817109831,65
8,Mining,0.38279793808262397,0.7544464216579861,0.5686221798703048,9
8,Other services,0.599999998,1.55234923716187,1.06656358094828,40
8,Professional services,0.569885784714461,1.26250381654739,0.892487286985978,131
8,Public administration,0.599999998,1.26250381654739,0.931251907273693,42
8,Transportation & utilities,0.599999998,1.6883991284707,1.14419956323535,76
8,Wholesale & retail trade,0.599999998,1.57676844842243,1.08838422321121,94
9,Agriculture & forestry,0.49999999399999995,1.5158391824393245,1.0079195882196623,3
9,Construction,0.49999999400000006,1.14840798662085,0.824203990310423,43
